粗利,-1,-1,1000,名詞,一般,*,*,*,*,粗利,アラリ,アラリ
型式,-1,-1,1000,名詞,一般,*,*,*,*,型式,カタシキ,カタシキ
館内着,-1,-1,1000,名詞,一般,*,*,*,*,館内着,カンナイギ,カンナイギ
高品質,-1,-1,1000,名詞,一般,*,*,*,*,高品質,コウヒンシツ,コウヒンシツ
誤,-1,-1,1000,接頭詞,名詞接続,*,*,*,*,誤,ゴ,ゴ
仕入,-1,-1,1000,名詞,一般,*,*,*,*,仕入,シイレ,シイレ
水栓,-1,-1,1000,名詞,一般,*,*,*,*,水栓,スイセン,スイセン
耐候性,-1,-1,1000,名詞,一般,*,*,*,*,耐候性,タイコウセイ,タイコウセイ
耐擦傷性,-1,-1,1000,名詞,一般,*,*,*,*,耐擦傷性,タイサッショウセイ,タイサッショウセイ
体組成,-1,-1,1000,名詞,一般,*,*,*,*,体組成,タイソセイ,タイソセイ
耐薬品性,-1,-1,1000,名詞,一般,*,*,*,*,耐薬品性,タイヤクヒンセイ,タイヤクヒンセイ
高潮,-1,-1,1000,名詞,一般,*,*,*,*,高潮,タカシオ,タカシオ
畜犬,-1,-1,1000,名詞,一般,*,*,*,*,畜犬,チクケン,チクケン
通帳,-1,-1,1000,名詞,一般,*,*,*,*,通帳,ツウチョウ,ツウチョウ
店外,-1,-1,1000,名詞,一般,*,*,*,*,店外,テンガイ,テンガイ
乳半,-1,-1,1000,名詞,一般,*,*,*,*,乳半,ニュウハン,ニュウハン
妊活,-1,-1,1000,名詞,一般,*,*,*,*,妊活,ニンカツ,ニンカツ
頻尿,-1,-1,1000,名詞,一般,*,*,*,*,頻尿,ヒンニョウ,ヒンニョウ
風量,-1,-1,1000,名詞,一般,*,*,*,*,風量,フウリョウ,フウリョウ
蜂窩織炎,-1,-1,1000,名詞,一般,*,*,*,*,蜂窩織炎,ホウカシキエン,ホウカシキエン
洛西,-1,-1,1000,名詞,固有名詞,地域,一般,*,*,洛西,ラクサイ,ラクサイ
